date,ic,n
2023-02-07,0.11188811188811189,12
2023-02-08,-0.09090909090909093,12
2023-02-09,-0.11188811188811189,12
2023-02-10,-0.37762237762237766,12
2023-02-13,-0.37762237762237766,12
2023-02-14,-0.1258741258741259,12
2023-02-15,-0.16083916083916086,12
2023-02-16,-0.2447552447552448,12
2023-02-17,-0.2937062937062937,12
2023-02-21,-0.3846153846153847,12
2023-02-22,-0.3916083916083916,12
2023-02-23,-0.18181818181818185,12
2023-02-24,-0.25874125874125875,12
2023-02-27,-0.27272727272727276,12
2023-02-28,-0.2517482517482518,12
2023-03-01,-0.27272727272727276,12
2023-03-02,-0.02097902097902098,12
2023-03-03,0.1188811188811189,12
2023-03-06,0.2657342657342658,12
2023-03-07,0.5034965034965035,12
2023-03-08,0.5734265734265735,12
2023-03-09,0.7132867132867133,12
2023-03-10,0.8601398601398602,12
2023-03-13,0.7132867132867133,12
2023-03-14,0.5524475524475525,12
2023-03-15,0.5734265734265735,12
2023-03-16,-0.09090909090909093,12
2023-03-17,-0.6643356643356644,12
2023-03-20,-0.21678321678321683,12
2023-03-21,0.37762237762237766,12
2023-03-22,0.2937062937062937,12
2023-03-23,0.1188811188811189,12
2023-03-24,0.4265734265734266,12
2023-03-27,0.35664335664335667,12
2023-03-28,0.006993006993006993,12
2023-03-29,-0.2797202797202798,12
2023-03-30,-0.1328671328671329,12
2023-03-31,0.1398601398601399,12
2023-04-03,-0.3076923076923077,12
2023-04-04,0.034965034965034975,12
2023-04-05,-0.2937062937062937,12
2023-04-06,0.04895104895104895,12
2023-04-10,-0.006993006993006993,12
2023-04-11,-0.3636363636363637,12
2023-04-12,-0.35664335664335667,12
2023-04-13,-0.3076923076923077,12
2023-04-14,-0.2867132867132868,12
2023-04-17,-0.32867132867132864,12
2023-04-18,-0.31468531468531474,12
2023-04-19,-0.2797202797202798,12
2023-04-20,0.006993006993006993,12
2023-04-21,0.07692307692307693,12
2023-04-24,0.07692307692307693,12
2023-04-25,0.2377622377622378,12
2023-04-26,0.2867132867132868,12
2023-04-27,0.46153846153846156,12
2023-04-28,0.43356643356643365,12
2023-05-01,0.2797202797202798,12
2023-05-02,0.4685314685314686,12
2023-05-03,0.5804195804195805,12
2023-05-04,0.6993006993006995,12
2023-05-05,0.4265734265734266,12
2023-05-08,0.1398601398601399,12
2023-05-09,-0.2027972027972028,12
2023-05-10,-0.10489510489510491,12
2023-05-11,-0.06993006993006995,12
2023-05-12,-0.2797202797202798,12
2023-05-15,-0.18181818181818185,12
2023-05-16,-0.06993006993006995,12
2023-05-17,-0.1258741258741259,12
2023-05-18,0.027972027972027972,12
2023-05-19,-0.1188811188811189,12
2023-05-22,0.013986013986013986,12
2023-05-23,-0.08391608391608392,12
2023-05-24,-0.04895104895104895,12
2023-05-25,-0.06993006993006995,12
2023-05-26,-0.06993006993006995,12
2023-05-30,0.20979020979020982,12
2023-05-31,0.31468531468531474,12
2023-06-01,0.3076923076923077,12
2023-06-02,0.0,12
2023-06-05,0.02097902097902098,12
2023-06-06,-0.034965034965034975,12
2023-06-07,-0.2797202797202798,12
2023-06-08,-0.08391608391608392,12
2023-06-09,-0.06993006993006995,12
2023-06-12,0.0,12
2023-06-13,0.21678321678321683,12
2023-06-14,0.3426573426573427,12
2023-06-15,0.3636363636363637,12
2023-06-16,0.21678321678321683,12
2023-06-20,-0.2377622377622378,12
2023-06-21,-0.5104895104895105,12
2023-06-22,-0.6153846153846154,12
2023-06-23,-0.7132867132867133,12
2023-06-26,-0.5454545454545455,12
2023-06-27,-0.5594405594405596,12
2023-06-28,-0.4755244755244756,12
2023-06-29,0.02097902097902098,12
2023-06-30,-0.16083916083916086,12
