date,ticker,target_20d,pred_RandomForest,pred_GradientBoosting,pred_Ensemble,lstm_pred,pred_final,pred_final_ens
2024-05-22,AAPL,0.0869043054274054,0.0085778680495562,0.0142746069603833,0.0114262375049697,0.015761051,0.014869184576229981,0.01316016290298182
2024-05-22,AMZN,0.0324905626647531,0.008561090457634,-0.003149543844256,0.002705773306689,0.019158054,0.005773495293446401,0.009286685584013401
2024-05-22,BAC,-0.0007500108414657,0.0109266760161056,0.0261577267678669,0.0185422013919862,0.018605372,0.023136784860720138,0.018567469635191722
2024-05-22,BLK,-0.0085248865156621,0.0085929031870696,0.0009635244015142,0.0047782137942919,0.016948447,0.0073574934409085194,0.00964630707657514
2024-05-22,C,-0.0600125292866708,0.0091138631704859,0.0055063605683803,0.0073101118694331,0.019276612,0.01101446114102818,0.012096711921659859
2024-05-22,GOOGL,0.0195948603377973,0.0446146110303135,0.045399919314018,0.0450072651721658,0.018675959,0.0347103351884108,0.03447474270329948
2024-05-22,GS,-0.0204932520598362,0.0112109067710429,0.0231694053781357,0.0171901560745893,0.017564211,0.02092732762688142,0.01733977804475358
2024-05-22,JPM,-0.0101355989180242,0.0104162600691919,0.0110524263011815,0.0107343431851867,0.017802175,0.0137523257807089,0.013561475911112019
2024-05-22,MS,-0.0454634189824885,0.0106037193534548,0.0268923537479785,0.0187480365507166,0.01656799,0.022762608248787102,0.01787601793042996
2024-05-22,MSFT,0.0447366332506682,0.0087837637110821,-0.0022585179578837,0.0032626228765991,0.01900598,0.00624728122526978,0.00955996572595946
2024-05-22,NVDA,0.3331268738281392,0.0318666528792097,-0.0202978730094241,0.0057843899348928,0.022962045,-0.0029939058056544596,0.012655451960935682
2024-05-22,XOM,-0.0408728506097583,0.0081469010877673,-0.0140545083519366,-0.0029538036320846,0.019252725,-0.0007316150111619591,0.00592880782074924
2024-05-23,AAPL,0.1137627294808136,0.0121366588828431,0.0260980237712263,0.0191173413270347,0.015695062,0.021936839062735778,0.01774842959622082
2024-05-23,AMZN,0.0249655019199499,0.0084651793579426,-0.0028263773717455,0.0028194009930985,0.018996602,0.005902814376952701,0.0092902813958591
2024-05-23,BAC,0.0279146367130012,0.0106189433349078,0.0181476478459139,0.0143832955904108,0.018560158,0.01831265190754834,0.01605404055424648
2024-05-23,BLK,0.0250695576991455,0.0082164706088778,0.0018599647134457,0.0050382176611618,0.016844556,0.00785380122806742,0.00976075299669708
2024-05-23,C,-0.02665813705048,0.0089241478913824,0.0059732677130718,0.0074487078022271,0.019289697,0.011299839427843081,0.012185103481336262
2024-05-23,GOOGL,0.0338560065484905,0.0349965588662936,0.0429864978886567,0.0389915283774752,0.018552464,0.03321288433319402,0.03081590262648512
2024-05-23,GS,0.0147034482521806,0.0097670898324508,0.0218116899048618,0.0157893898686563,0.017651772,0.02014772274291708,0.01653434272119378
2024-05-23,JPM,0.0099533488148864,0.0100398274910001,0.0110524263011815,0.0105461268960908,0.01783147,0.0137640437807089,0.01346026413765448
2024-05-23,MS,-0.0183987464764113,0.0106037193534548,0.0300701902551191,0.0203369548042869,0.016667483,0.024709107353071462,0.01886916608257214
2024-05-23,MSFT,0.0484075657829672,0.0089126325905311,-0.0004872485580731,0.0042126920162289,0.01870125,0.00718815086515614,0.01000811520973734
2024-05-23,NVDA,0.137965591676705,0.0250161524765828,-0.0716049206997777,-0.0232943841115974,0.022661194,-0.03389847481986662,-0.0049121528669584386
2024-05-23,XOM,0.0047573525135498,0.0073242711670596,-0.0123323358027149,-0.0025040323178276,0.018957004,0.00018340011837106058,0.0060803822093034405
2024-05-24,AAPL,0.1004843712841119,0.0137534461343033,0.0328361071866819,0.0232947766604926,0.015748028,0.026000875512009143,0.02027607719629556
2024-05-24,AMZN,0.0309266738589211,0.0084651793579426,0.0025040115830823,0.0054845954705124,0.018883776,0.00905591734984938,0.010844267682307441
2024-05-24,BAC,-0.0020273150728861,0.0106189433349078,0.0179755202883574,0.0142972318116326,0.018450608,0.01816555537301444,0.01595858228697956
2024-05-24,BLK,0.0226731719616173,0.0082164706088778,0.0032137786532444,0.0057151246310611,0.016864654,0.00867412879194664,0.01017493637863666
2024-05-24,C,-0.0314565363550731,0.0089271458713975,0.012240726802576,0.0105839363369868,0.01931047,0.0150686240815456,0.014074549802192079
2024-05-24,GOOGL,0.0528670394608044,0.0386323724099772,0.0532497619968202,0.0459410672033987,0.018334877,0.03928380799809212,0.03489859112203922
2024-05-24,GS,-0.0022380043302328,0.0092071190225134,0.0138910938645948,0.0115491064435541,0.017652119,0.015395503918756881,0.01399031146613246
2024-05-24,JPM,-0.0131533338175416,0.0100911206965949,0.017193499515633,0.013642310106114,0.017923815,0.0174856257093798,0.015354912063668399
2024-05-24,MS,-0.0118215642530644,0.010295986672257,0.0204638566951445,0.0153799216837007,0.016675469,0.0189485016170867,0.015898140610220417
2024-05-24,MSFT,0.0483307253577591,0.0087837637110821,0.0049450015524699,0.006864382631776,0.018435381,0.01034115333148194,0.0114927819790656
2024-05-24,NVDA,0.1843855921188164,0.0086074078150903,-0.0643264307181134,-0.0278595114515115,0.022412525,-0.029630848430868037,-0.007750696870906898
2024-05-24,XOM,0.008376067324054,0.0079879776003868,-0.0096827393250942,-0.0008473808623537,0.018756166,0.0016928228049434809,0.006994037882587781
2024-05-28,AAPL,0.1224272045211332,0.0141424337266711,0.0293786301848396,0.0217605319557554,0.015840055,0.02396320011090376,0.01939234117345324
2024-05-28,AMZN,0.0629152186867023,0.0082784620588543,0.0027709394357845,0.0055247007473194,0.01904818,0.0092818356614707,0.010934092448391641
2024-05-28,BAC,-0.0021056608775642,0.0105020744494133,0.0158437088455155,0.0131728916474644,0.018406026,0.0168686357073093,0.01526614538847864
2024-05-28,BLK,0.0275241418132492,0.0082164706088778,0.0012090313397312,0.0047127509743045,0.017032495,0.0075384168038387205,0.0096406485845827
2024-05-28,C,-0.0192152695567839,0.0089241478913824,0.0119197263577054,0.0104219371245439,0.01939735,0.014910775814623242,0.014012102274726341
2024-05-28,GOOGL,0.0436000670274492,0.0306150011381849,0.0490060285948764,0.0398105148665306,0.018565629,0.036829868756925836,0.03131256051991836
2024-05-28,GS,-0.0025910079534995,0.0092071190225134,0.0160552079478257,0.0126311634851695,0.0177492,0.016732804768695417,0.0146783780911017
2024-05-28,JPM,-0.0103761532655465,0.0102295427701036,0.0147197536755931,0.0124746482228484,0.01795683,0.01601458420535586,0.01466752093370904
2024-05-28,MS,-0.0180398737998084,0.010295986672257,0.018424560874281,0.014360273773269,0.016672537,0.017723751324568604,0.015285179063961402
2024-05-28,MSFT,0.0507527698210563,0.0090580447411885,0.0059280073748872,0.0074930260580379,0.018245917,0.010855171224932321,0.01179418243482274
2024-05-28,NVDA,0.1098268721011261,0.0059058350966167,-0.0984492175562579,-0.0462716912298206,0.022371614,-0.050120884933754745,-0.018814369137892355
2024-05-28,XOM,-0.0039177943011359,0.0082201888171159,-0.0073004512802966,0.0004598687684096,0.01863301,0.0030729332318220398,0.0077291252610457595
2024-05-29,AAPL,0.1251248473558883,0.0085778680495562,0.0210272571691644,0.0148025626093603,0.015917974,0.018983543901498638,0.01524872716561618
2024-05-29,AMZN,0.086968472838345,0.0084651793579426,0.0005507629692835,0.004507971163613,0.019256894,0.0080332153815701,0.010407540298167801
2024-05-29,BAC,0.0198535288400214,0.0102993911836974,0.0031376045764359,0.0067184978800667,0.018314367,0.009208309545861541,0.011356845528040022
2024-05-29,BLK,0.0392566823063398,0.0077950772624758,0.0043874376993286,0.0060912574809022,0.017254801,0.009534383019597161,0.01055667488854132
2024-05-29,C,-0.00741812315004,0.0089241478913824,0.008878394817667,0.0089012713545247,0.019425973,0.0130974260906002,0.01311115201271482
2024-05-29,GOOGL,0.0552745727092334,0.0439914474527745,0.0591450264276254,0.0515682369401999,0.018594045,0.04292463385657524,0.03837856016411994
2024-05-29,GS,-0.0186172852010069,0.0092071190225134,0.006400916526345,0.0078040177744292,0.017833441,0.010973926315807,0.01181578706465752
