date,ic,pearson_ic,pvalue,n_stocks,significant,ic_rolling_6,ic_cumsum
2024-04-25,0.3846153846153847,0.6371390009428826,0.21702022575997731,12,False,,0.3846153846153847
2024-05-23,-0.09090909090909093,-0.36305165321872795,0.7787253962454419,12,False,,0.29370629370629375
2024-06-24,0.1188811188811189,-0.11225332158327962,0.712884219214772,12,False,,0.41258741258741266
2024-07-23,0.23076923076923078,0.14742401502296337,0.470531995381542,12,False,,0.6433566433566434
2024-08-20,0.06293706293706294,0.17244558866401422,0.8459309212287789,12,False,,0.7062937062937064
2024-09-18,-0.055944055944055944,0.03511054853291981,0.8628980736949713,12,False,0.1083916083916084,0.6503496503496504
2024-10-16,0.6783216783216784,0.510933360872845,0.015317329053281715,12,True,0.15734265734265737,1.3286713286713288
2024-11-13,-0.5944055944055945,-0.6457090381573263,0.04152149441031857,12,True,0.07342657342657342,0.7342657342657343
2024-12-12,0.31468531468531474,0.18897120244238003,0.31913878550330455,12,False,0.10606060606060608,1.048951048951049
2025-01-14,0.30069930069930073,0.46106947078740884,0.34225952894002437,12,False,0.11771561771561774,1.3496503496503496
2025-02-12,0.6153846153846154,0.44885618114125453,0.033169901090105904,12,True,0.20979020979020982,1.965034965034965
2025-03-13,0.04895104895104895,-0.12309893164680212,0.8799185788786748,12,False,0.2272727272727273,2.0139860139860137
2025-04-10,-0.15384615384615385,-0.2256947137649989,0.6330906812462617,12,False,0.08857808857808859,1.86013986013986
2025-05-09,0.5804195804195805,0.8182538415539777,0.04785597684206058,12,True,0.28438228438228447,2.4405594405594404
2025-06-09,0.21678321678321683,0.46826617288882766,0.49855598552418845,12,False,0.2680652680652681,2.657342657342657
2025-07-09,0.34965034965034975,0.4915497434762095,0.26523878689278996,12,False,0.2762237762237763,3.0069930069930066
2025-08-06,-0.1398601398601399,-0.3588439418364927,0.6646331617926677,12,False,0.1503496503496504,2.8671328671328666
2025-09-04,0.32867132867132864,0.3933906300349558,0.2969041156887641,12,False,0.19696969696969702,3.1958041958041954
2025-10-02,0.30069930069930073,0.4533431142613045,0.34225952894002437,12,False,0.27272727272727276,3.4965034965034962
2025-10-30,0.35664335664335667,0.13068595928885668,0.2551377517589572,12,False,0.23543123543123548,3.853146853146853
2025-11-28,-0.06993006993006995,-0.01926576369927785,0.8290236405313092,12,False,0.18764568764568768,3.783216783216783
2025-12-29,0.2517482517482518,0.25332798593531514,0.4299187850328841,12,False,0.17132867132867136,4.034965034965035
2026-01-28,-0.3706293706293707,-0.19955761278201112,0.23562100351264567,12,False,0.13286713286713286,3.664335664335664
2026-02-26,0.2657342657342658,0.2938491876746659,0.4038330883147116,12,False,0.1223776223776224,3.93006993006993
2026-03-26,0.35664335664335667,0.3023243648116294,0.2551377517589572,12,False,0.13170163170163174,4.286713286713287
