date,ticker,target_20d,pred_RandomForest,pred_GradientBoosting,pred_Ensemble,lstm_pred,pred_final,pred_final_ens,vol_regime_z,regime_high_vol,regime_low_vol,vol_of_vol,beta_regime,mom_vol_ratio,pred_final_gb_lstm,pred_final_ens_lstm,dynamic_lstm_w,pred_dynamic_gb_lstm,pred_dynamic_ens_lstm,pred_final_gb_lstm_smooth,pred_final_ens_lstm_smooth,sector,pred_RandomForest_sn,pred_RandomForest_sn_sm,pred_GradientBoosting_sn,pred_GradientBoosting_sn_sm,pred_Ensemble_sn,pred_Ensemble_sn_sm,lstm_pred_sn,lstm_pred_sn_sm,pred_final_gb_lstm_sn,pred_final_gb_lstm_sn_sm,pred_final_ens_lstm_sn,pred_final_ens_lstm_sn_sm,pred_dynamic_gb_lstm_sn,pred_dynamic_gb_lstm_sn_sm,pred_dynamic_ens_lstm_sn,pred_dynamic_ens_lstm_sn_sm
2024-05-22,AAPL,0.0869043054274054,0.0085778680495562,0.0142746069603833,0.0114262375049697,0.015761051,0.0148691845762299,0.0131601629029818,-1.0646546636403638,0.0,1.0,0.0021958229149946,-0.8222578217567442,9.817235750430084,0.0148691845762299,0.0131601629029818,0.25,0.0146462179702874,0.0125099408787272,0.0148691845762299,0.0131601629029818,Technology,-0.5850230405041174,-0.5850230405041174,0.9851653820892221,0.9851653820892221,1.1009116434545865,1.1009116434545865,-0.9655107998842003,-0.9655107998842003,0.9882448393430406,0.9882448393430406,0.7019487726277533,0.7019487726277533,0.9865933787047237,0.9865933787047237,0.9706491500421874,0.9706491500421874
2024-05-23,AAPL,0.1137627294808136,0.0121366588828431,0.0260980237712263,0.0191173413270347,0.015695062,0.0219368390627357,0.0177484295962208,-1.041029733034292,0.0,1.0,0.0020722413860665,-0.8177550417327758,8.228791776697228,0.0219368390627357,0.0177484295962208,0.25,0.0234972833284197,0.018261771495276,0.019816542716784,0.0163719495882491,Technology,-0.37773192725352495,-0.43991926122870273,0.8201465538313181,0.8696522023086892,0.8879786913817685,0.951858577003614,-0.9513917905951559,-0.9556274933818693,0.813147880307358,0.8656769680180627,0.8797838419944464,0.8264333211844384,0.8167358936717536,0.8676931391816447,0.8841280012928566,0.9100843459176559
2024-05-24,AAPL,0.1004843712841119,0.0137534461343033,0.0328361071866819,0.0232947766604926,0.015748028,0.0260008755120091,0.0202760771962955,-1.2368516054090404,0.0,1.0,0.0019082781060519,-1.0056077583169318,6.328175505487808,0.0260008755120091,0.0202760771962955,0.25,0.0285640873900114,0.0214080894953694,0.0241455756734416,0.0191048389138816,Technology,1.154170509853715,0.6759435785289896,0.8332186591979348,0.8441487221311612,0.8626007691506565,0.8893781115065438,-0.9297010864312457,-0.9374790085164328,0.8283645980906608,0.8395583090688813,0.8559464460803312,0.8470925086115634,0.8308503920778882,0.8419032162090152,0.8594296141663984,0.8746260336917757
2024-05-28,AAPL,0.1224272045211332,0.0141424337266711,0.0293786301848396,0.0217605319557554,0.015840055,0.0239632001109037,0.0193923411734532,-1.200684253184432,0.0,1.0,0.0018070856033419,-1.0312256109927505,7.723134654300485,0.0239632001109037,0.0193923411734532,0.25,0.0259939863886297,0.0202804127168165,0.0240179127796651,0.0193060904955817,Technology,1.0684374666926297,0.9506893002435377,0.7410204175308494,0.7719589089109429,0.7646649212004932,0.8020788782923084,-0.9018647498981707,-0.9125490274836493,0.735136886454191,0.7664633132385981,0.7549113372075008,0.7825656886287196,0.7381300760965319,0.769262018130277,0.7599519684157626,0.7943541879985666
2024-05-29,AAPL,0.1251248473558883,0.0085778680495562,0.0210272571691644,0.0148025626093603,0.015917974,0.0189835439014986,0.0152487271656161,-1.9736317838089463,0.0,1.0,0.001760932719558,-1.6439607894728898,6.175128079451459,0.0189835439014986,0.0152487271656161,0.25,0.0197499363768733,0.0150814154570202,0.0204938545649485,0.0164659361646058,Technology,0.4581306912685855,0.6058982739610712,0.7332933448642658,0.744893014078269,0.7257076567338939,0.7486190232014183,-0.8573278384318118,-0.8738941951473631,0.726748782557657,0.7386631417619393,0.7114982836669683,0.7328185051554936,0.7301039041925239,0.7418513383738499,0.7189605042468339,0.7415786093723538
2024-05-30,AAPL,0.1010508864395021,0.0087162901230649,0.0270181271889468,0.0178672086560059,0.015847117,0.022549723113368,0.0170591719936035,-1.692564095588146,0.0,1.0,0.0017263331936922,-1.2799088123215026,7.843121128669968,0.022549723113368,0.0170591719936035,0.25,0.02422537464171,0.0173621857420044,0.0219329625488422,0.0168812012449042,Technology,0.4400512710512681,0.4898053719242091,0.7062504906864155,0.7178432477039716,0.6870961919656914,0.7055530413364095,-0.8271442435786993,-0.8411692290492985,0.6997554983270196,0.7114277913574955,0.6724549734121528,0.690564032935155,0.7030868327055452,0.7147161844060366,0.6801328535878204,0.6985665803231804
2024-05-31,AAPL,0.127438373050249,0.0087162901230649,0.0263172901064985,0.0175167901147817,0.015653022,0.0220515828638991,0.016771282868869,-1.763590819199005,0.0,1.0,0.0017574882808201,-1.3527659192947183,8.701996447493265,0.0220515828638991,0.016771282868869,0.25,0.0236512230798738,0.0170508480860862,0.022015996769382,0.0168042583816795,Technology,-0.974479761331152,-0.5351942213545436,0.6902063846510939,0.6984974435669571,0.6704366519561903,0.6809715687702561,-0.8417380897764536,-0.841567431558307,0.6813756273780981,0.6903912765719173,0.6491239180796208,0.6615559525362811,0.6859134919720011,0.6945542997022117,0.6603881401437814,0.6718416721976012
2024-06-03,AAPL,0.135236919192967,0.0094199735547596,0.0144119778406067,0.0119159756976831,0.0154439295,0.014824758504364,0.0133271572186098,-2.3468532935210646,0.0,1.0,0.0024809404966955,-1.9017947898684613,7.444315350892599,0.014824758504364,0.0133271572186098,0.25,0.014669965755455,0.0127979641482623,0.0169821299838694,0.0143702875675307,Technology,-0.619575975575642,-0.5942614493093126,0.5811833113150324,0.6163775509906098,0.5719564154134339,0.6046609614204805,-0.8752932171433747,-0.8651754814678545,0.5664843792604807,0.6036564484539118,0.5316899196457234,0.5706497295128907,0.574001582860694,0.6101673979131493,0.5529876299784404,0.5886438426441887
2024-06-04,AAPL,0.1399535618570544,0.014745299751979,0.0199905887927284,0.0173679442723537,0.015626617,0.018245000075637,0.0166714133634122,-2.4002473640728934,0.0,1.0,0.0029703004554368,-2.084529892534569,3.943923539222866,0.018245000075637,0.0166714133634122,0.25,0.0188995958445463,0.0169326124542652,0.0178661390481067,0.0159810756246477,Technology,-0.7662455502749799,-0.7146503199852797,0.45492434424987505,0.5033603062720955,0.4141739394366129,0.4713200460317732,-0.9028614390685396,-0.8915556517883341,0.43607038657334196,0.4863462051375129,0.3664889776917319,0.4277372032380795,0.44566693465112783,0.4950170736297343,0.39127361464996085,0.4504846830482292
2024-06-05,AAPL,0.1555624025081823,0.0135387516520306,0.0207244668295883,0.0171316092408094,0.01604422,0.0188523680977529,0.0166966535444856,-1.5787092636738675,0.0,1.0,0.0032663858140694,-1.3254995029350904,4.716779366678966,0.0188523680977529,0.0166966535444856,0.25,0.0195544051221912,0.016859761930607,0.0185564993828591,0.0164819801685342,Technology,0.3721366900662805,0.04610058705081235,0.6048364151306218,0.5743935824730639,0.5872527557726062,0.5524729428503563,-0.9333559266193633,-0.9208158441700546,0.5927791940888514,0.5608492974034498,0.5631568316607706,0.5225309431339633,0.5989069979512165,0.5677400206547718,0.5755712907957827,0.5380453084715167
2024-06-06,AAPL,0.1714315535619153,0.0087162901230649,0.0162730458211635,0.0124946679721142,0.01635984,0.0163077634926981,0.0140407367832685,-1.523422926834877,0.0,1.0,0.0034180878144004,-1.3238716369914103,4.986109746579706,0.0163077634926981,0.0140407367832685,0.25,0.0162947443658726,0.0134609609790856,0.0169823842597464,0.0147731097988482,Technology,0.5658124206367353,0.4098988705609584,0.7196639388059561,0.6760828319060884,0.7153358342611895,0.6664769668379396,-0.9440151404594616,-0.9370553515726394,0.7063700060312423,0.6627137934429046,0.6875536961385177,0.6380468702371513,0.713198151405975,0.669560712180614,0.7021953935028202,0.6529503679934291
2024-06-07,AAPL,0.161460534397789,0.0085785701756367,0.0171298334566973,0.012854201816167,0.016586585,0.0169125340740183,0.0143471550897001,-1.4436763248157602,0.0,1.0,0.0035989694372434,-1.2321820039585056,4.366318145316512,0.0169125340740183,0.0143471550897001,0.25,0.0169940213425229,0.0137872976121252,0.0169334891297367,0.0144749415024446,Technology,0.4786073193415501,0.4579947847073726,0.6635381530347795,0.6673015566961722,0.6598234499090263,0.6618195049877003,-0.9393296135272109,-0.9386473349408394,0.6484496562714891,0.6527288974229137,0.6283478085583678,0.6312575270620029,0.6561807764956934,0.6601947572011695,0.6448626911367147,0.647288994193729
