signal,mean_ic,icir,pct_pos_ic,n_periods,gross_sr,net_sr,net_ret,ann_ret,max_dd,calmar,turnover,hit_rate,balanced_score
pred_dynamic_gb_lstm_sn_sm,0.12530360082807637,0.4353278712138127,0.6503496503496503,429,1.365476977914794,1.238593577347856,0.5816830886777777,0.3111775532233927,-0.1385810444746364,2.2454553896824287,1.1818181818181819,0.6818181818181818,0.78125
pred_dynamic_ens_lstm_sn_sm,0.130633934829739,0.4497567633508349,0.6596736596736597,429,1.0006257776358127,0.8811082958595481,0.364933389280933,0.20181767996339772,-0.15956294185782077,1.264815486688809,1.1136363636363635,0.5909090909090909,0.7375
pred_final_gb_lstm_sn_sm,0.12016887541363068,0.4138924545594976,0.6247086247086248,429,1.2073399776063072,1.0797733336903523,0.47911092284209955,0.2602450062906214,-0.13858104447463623,1.8779264312606094,1.1818181818181819,0.6363636363636364,0.696875
pred_Ensemble_sn_sm,0.0976575871680767,0.3425716272210712,0.6153846153846154,429,1.0206746482974662,0.8959495217992443,0.37122967694196163,0.2050905087025825,-0.11105947063126224,1.8466728459702504,1.1590909090909092,0.5909090909090909,0.6312499999999999
pred_dynamic_ens_lstm,0.13612727598741586,0.44213551782766564,0.6596736596736597,429,0.7433708748690456,0.6348987052650872,0.23579182495546047,0.13326460363004977,-0.15422481204647026,0.8640931498745814,1.0227272727272727,0.5909090909090909,0.6203124999999999
pred_final_ens_lstm,0.1284007367923452,0.406789208618169,0.6480186480186481,429,0.7397462683916551,0.6368788376883122,0.25910550739200655,0.14584960261453417,-0.15422481204647032,0.9456947989055576,1.0681818181818181,0.5454545454545454,0.6046875
pred_GradientBoosting_sn_sm,0.1033465369129705,0.3686550904209677,0.6433566433566433,429,0.808726947850095,0.6695513978451813,0.23598512132242289,0.13336934457199745,-0.1318315310339812,1.0116649903551516,1.1818181818181819,0.6363636363636364,0.53125
lstm_pred,0.09312598823088336,0.2742998977006751,0.6083916083916084,429,0.7221850253082799,0.6374549382083553,0.2532346731715003,0.1426895021008039,-0.17932943534867757,0.7956836635512003,0.8636363636363636,0.5454545454545454,0.525
pred_Ensemble,0.10474839845469217,0.3459341070272033,0.627039627039627,429,0.7237717878750008,0.6198327737187498,0.23617886889965356,0.1334743232855693,-0.14758732477083922,0.90437524694493,1.0227272727272727,0.5454545454545454,0.5046875
pred_final_ens_lstm_sn_sm,0.12205975842339481,0.4104008160659346,0.627039627039627,429,0.776308991059721,0.6535473324161019,0.2441151648878559,0.1377686979313859,-0.17752442163100757,0.7760549036895008,1.1363636363636365,0.5909090909090909,0.490625
pred_RandomForest_sn_sm,0.05411837579669748,0.1719231358084904,0.5874125874125874,429,0.8503841085128934,0.7457298675370899,0.3223269519711758,0.17950620387465155,-0.23109844434544488,0.7767521083193728,1.0681818181818181,0.5909090909090909,0.45781249999999996
pred_dynamic_gb_lstm,0.1477333854956233,0.49764868885571883,0.6923076923076923,429,0.5794338539352757,0.4870108588040246,0.18945188678978475,0.10795763888102616,-0.1404447453975345,0.7686840726966875,1.0909090909090908,0.6363636363636364,0.45625000000000004
pred_final_gb_lstm,0.1485973234224983,0.4875873013434666,0.6783216783216783,429,0.47215870929245757,0.3776935198144183,0.12211236159283145,0.07045134495208871,-0.14194598337418737,0.49632503349087487,1.0454545454545454,0.5909090909090909,0.4515625
pred_RandomForest,0.07496081469688608,0.21938231847074172,0.5897435897435898,429,0.592145138255256,0.5057924901593911,0.18904591454505004,0.10773416662444024,-0.20373414358924957,0.5287977985744214,0.8863636363636364,0.5,0.334375
pred_GradientBoosting,0.12524679119146256,0.42558585669667975,0.6526806526806527,429,0.4414326382739696,0.3463995454740622,0.10506760688020744,0.06081307759643351,-0.1522911985081069,0.39932102572031597,1.0454545454545454,0.5909090909090909,0.3203125
lstm_pred_sn_sm,0.09211534386359563,0.28675474147113666,0.6013986013986014,429,0.1794375164015882,0.07863506117893251,-0.01835552397571638,-0.01088752441891927,-0.21036495637600144,-0.051755409296685144,1.0,0.5,0.20625
