date,ticker,target_20d,pred_RandomForest,pred_GradientBoosting,pred_Ensemble,lstm_pred,pred_final,pred_final_ens,vol_regime_z,regime_high_vol,regime_low_vol,vol_of_vol,beta_regime,mom_vol_ratio,pred_final_gb_lstm,pred_final_ens_lstm,dynamic_lstm_w,pred_dynamic_gb_lstm,pred_dynamic_ens_lstm,pred_final_gb_lstm_smooth,pred_final_ens_lstm_smooth,sector
2024-05-22,AAPL,0.0869043054274054,0.0085778680495562,0.0142746069603833,0.0114262375049697,0.015761051,0.0148691845762299,0.0131601629029818,-1.0646546636403638,0.0,1.0,0.0021958229149946,-0.8222578217567442,9.817235750430084,0.0148691845762299,0.0131601629029818,0.25,0.0146462179702874,0.0125099408787272,0.0148691845762299,0.0131601629029818,Technology
2024-05-23,AAPL,0.1137627294808136,0.0121366588828431,0.0260980237712263,0.0191173413270347,0.015695062,0.0219368390627357,0.0177484295962208,-1.041029733034292,0.0,1.0,0.0020722413860665,-0.8177550417327758,8.228791776697228,0.0219368390627357,0.0177484295962208,0.25,0.0234972833284197,0.018261771495276,0.019816542716784,0.0163719495882491,Technology
2024-05-24,AAPL,0.1004843712841119,0.0137534461343033,0.0328361071866819,0.0232947766604926,0.015748028,0.0260008755120091,0.0202760771962955,-1.2368516054090404,0.0,1.0,0.0019082781060519,-1.0056077583169318,6.328175505487808,0.0260008755120091,0.0202760771962955,0.25,0.0285640873900114,0.0214080894953694,0.0241455756734416,0.0191048389138816,Technology
2024-05-28,AAPL,0.1224272045211332,0.0141424337266711,0.0293786301848396,0.0217605319557554,0.015840055,0.0239632001109037,0.0193923411734532,-1.200684253184432,0.0,1.0,0.0018070856033419,-1.0312256109927505,7.723134654300485,0.0239632001109037,0.0193923411734532,0.25,0.0259939863886297,0.0202804127168165,0.0240179127796651,0.0193060904955817,Technology
2024-05-29,AAPL,0.1251248473558883,0.0085778680495562,0.0210272571691644,0.0148025626093603,0.015917974,0.0189835439014986,0.0152487271656161,-1.9736317838089463,0.0,1.0,0.001760932719558,-1.6439607894728898,6.175128079451459,0.0189835439014986,0.0152487271656161,0.25,0.0197499363768733,0.0150814154570202,0.0204938545649485,0.0164659361646058,Technology
2024-05-30,AAPL,0.1010508864395021,0.0087162901230649,0.0270181271889468,0.0178672086560059,0.015847117,0.022549723113368,0.0170591719936035,-1.692564095588146,0.0,1.0,0.0017263331936922,-1.2799088123215026,7.843121128669968,0.022549723113368,0.0170591719936035,0.25,0.02422537464171,0.0173621857420044,0.0219329625488422,0.0168812012449042,Technology
2024-05-31,AAPL,0.127438373050249,0.0087162901230649,0.0263172901064985,0.0175167901147817,0.015653022,0.0220515828638991,0.016771282868869,-1.763590819199005,0.0,1.0,0.0017574882808201,-1.3527659192947183,8.701996447493265,0.0220515828638991,0.016771282868869,0.25,0.0236512230798738,0.0170508480860862,0.022015996769382,0.0168042583816795,Technology
2024-06-03,AAPL,0.135236919192967,0.0094199735547596,0.0144119778406067,0.0119159756976831,0.0154439295,0.014824758504364,0.0133271572186098,-2.3468532935210646,0.0,1.0,0.0024809404966955,-1.9017947898684613,7.444315350892599,0.014824758504364,0.0133271572186098,0.25,0.014669965755455,0.0127979641482623,0.0169821299838694,0.0143702875675307,Technology
2024-06-04,AAPL,0.1399535618570544,0.014745299751979,0.0199905887927284,0.0173679442723537,0.015626617,0.018245000075637,0.0166714133634122,-2.4002473640728934,0.0,1.0,0.0029703004554368,-2.084529892534569,3.943923539222866,0.018245000075637,0.0166714133634122,0.25,0.0188995958445463,0.0169326124542652,0.0178661390481067,0.0159810756246477,Technology
2024-06-05,AAPL,0.1555624025081823,0.0135387516520306,0.0207244668295883,0.0171316092408094,0.01604422,0.0188523680977529,0.0166966535444856,-1.5787092636738675,0.0,1.0,0.0032663858140694,-1.3254995029350904,4.716779366678966,0.0188523680977529,0.0166966535444856,0.25,0.0195544051221912,0.016859761930607,0.0185564993828591,0.0164819801685342,Technology
2024-06-06,AAPL,0.1714315535619153,0.0087162901230649,0.0162730458211635,0.0124946679721142,0.01635984,0.0163077634926981,0.0140407367832685,-1.523422926834877,0.0,1.0,0.0034180878144004,-1.3238716369914103,4.986109746579706,0.0163077634926981,0.0140407367832685,0.25,0.0162947443658726,0.0134609609790856,0.0169823842597464,0.0147731097988482,Technology
2024-06-07,AAPL,0.161460534397789,0.0085785701756367,0.0171298334566973,0.012854201816167,0.016586585,0.0169125340740183,0.0143471550897001,-1.4436763248157602,0.0,1.0,0.0035989694372434,-1.2321820039585056,4.366318145316512,0.0169125340740183,0.0143471550897001,0.25,0.0169940213425229,0.0137872976121252,0.0169334891297367,0.0144749415024446,Technology
2024-06-10,AAPL,0.2063999399818026,0.0085729255300013,0.0106325696505987,0.0096027475903,0.016952123,0.0131603909903592,0.01254249775418,-1.3862010605453423,0.0,1.0,0.0036322412482079,-1.1741291216011724,4.469794402863013,0.0131603909903592,0.01254249775418,0.25,0.012212457987949,0.011440091442725,0.0142923204321724,0.0131222308786593,Technology
2024-06-11,AAPL,0.0985759514853354,0.0172569105488521,0.0070582231305621,0.0121575668397071,0.01760507,0.0112769618783372,0.0143365681038242,-1.3042686611498129,0.0,1.0,0.0036582501737444,-1.2230534068857664,3.096779291185497,0.0112769618783372,0.0143365681038242,0.25,0.0096949348479215,0.0135194426297803,0.0121815694444878,0.0139722669362747,Technology
